,name,office,state,candidateId,350_Action_rating_text,350_Action_rating,350_Action_rating_name,American_Forest_and_Paper_Association_rating_text,American_Forest_and_Paper_Association_rating,American_Forest_and_Paper_Association_rating_name,American_Lands_Alliance_rating_text,American_Lands_Alliance_rating,American_Lands_Alliance_rating_name,American_Society_of_Landscape_Architects_rating_text,American_Society_of_Landscape_Architects_rating,American_Society_of_Landscape_Architects_rating_name,American_Wilderness_Coalition_rating_text,American_Wilderness_Coalition_rating,American_Wilderness_Coalition_rating_name,Associated_Equipment_Distributors_rating_text,Associated_Equipment_Distributors_rating,Associated_Equipment_Distributors_rating_name,Brand_New_Congress_rating_text,Brand_New_Congress_rating,Brand_New_Congress_rating_name,Californians_for_Population_Stabilization_rating_text,Californians_for_Population_Stabilization_rating,Californians_for_Population_Stabilization_rating_name,Center_For_Biological_Diversity_Action_Fund_rating_text,Center_For_Biological_Diversity_Action_Fund_rating,Center_For_Biological_Diversity_Action_Fund_rating_name,Center_for_International_Policy_rating_text,Center_for_International_Policy_rating,Center_for_International_Policy_rating_name,Citizens_for_Global_Solutions_rating_text,Citizens_for_Global_Solutions_rating,Citizens_for_Global_Solutions_rating_name,Clean_Water_Action_rating_text,Clean_Water_Action_rating,Clean_Water_Action_rating_name,Climate_Hawks_Vote_rating_text,Climate_Hawks_Vote_rating,Climate_Hawks_Vote_rating_name,Common_Defense_rating_text,Common_Defense_rating,Common_Defense_rating_name,Competitive_Enterprise_Institute_rating_text,Competitive_Enterprise_Institute_rating,Competitive_Enterprise_Institute_rating_name,ConservAmerica_rating_text,ConservAmerica_rating,ConservAmerica_rating_name,Defenders_of_Wildlife_Action_Fund_rating_text,Defenders_of_Wildlife_Action_Fund_rating,Defenders_of_Wildlife_Action_Fund_rating_name,Democratic_Socialists_Of_America_rating_text,Democratic_Socialists_Of_America_rating,Democratic_Socialists_Of_America_rating_name,EarthRights_International_rating_text,EarthRights_International_rating,EarthRights_International_rating_name,Environment_America_rating_text,Environment_America_rating,Environment_America_rating_name,Food_Policy_Action_rating_text,Food_Policy_Action_rating,Food_Policy_Action_rating_name,Friends_of_the_Earth_Action_rating_text,Friends_of_the_Earth_Action_rating,Friends_of_the_Earth_Action_rating_name,Future_Now_Fund_rating_text,Future_Now_Fund_rating,Future_Now_Fund_rating_name,Global_Exchange_rating_text,Global_Exchange_rating,Global_Exchange_rating_name,Greenpeace_rating_text,Greenpeace_rating,Greenpeace_rating_name,League_of_Conservation_Voters_rating_text,League_of_Conservation_Voters_rating,League_of_Conservation_Voters_rating_name,Matriarch_rating_text,Matriarch_rating,Matriarch_rating_name,National_Parks_Conservation_Association_rating_text,National_Parks_Conservation_Association_rating,National_Parks_Conservation_Association_rating_name,NextGen_America_rating_text,NextGen_America_rating,NextGen_America_rating_name,Ocean_Champions_rating_text,Ocean_Champions_rating,Ocean_Champions_rating_name,Outdoor_Industry_Association_Political_Action_Committee_rating_text,Outdoor_Industry_Association_Political_Action_Committee_rating,Outdoor_Industry_Association_Political_Action_Committee_rating_name,Partnership_for_America_rating_text,Partnership_for_America_rating,Partnership_for_America_rating_name,Rachel's_Action_Network_rating_text,Rachel's_Action_Network_rating,Rachel's_Action_Network_rating_name,Sierra_Club_rating_text,Sierra_Club_rating,Sierra_Club_rating_name,Southern_Alliance_for_Clean_Energy_Action_Fund_rating_text,Southern_Alliance_for_Clean_Energy_Action_Fund_rating,Southern_Alliance_for_Clean_Energy_Action_Fund_rating_name,Sunrise_Movement_rating_text,Sunrise_Movement_rating,Sunrise_Movement_rating_name,The_Climate_Mobilization_rating_text,The_Climate_Mobilization_rating,The_Climate_Mobilization_rating_name,The_National_Wildlife_Federation_Action_Fund_rating_text,The_National_Wildlife_Federation_Action_Fund_rating,The_National_Wildlife_Federation_Action_Fund_rating_name,Western_Organization_of_Resource_Councils_rating_text,Western_Organization_of_Resource_Councils_rating,Western_Organization_of_Resource_Councils_rating_name,Women's_Action_for_New_Directions_(WAND)_rating_text,Women's_Action_for_New_Directions_(WAND)_rating,Women's_Action_for_New_Directions_(WAND)_rating_name,Zero_Hour_rating_text,Zero_Hour_rating,Zero_Hour_rating_name
0,Joe Biden,President,,53279,Joseph Biden supported the interests of the 350 Action 25 percent in 2020.,25,"Climate Test, Presidential Candidate Scorecard [February 18, 2020]",Joseph Biden supported the interests of the American Forest and Paper Association 25 percent in 2003-2004.,25,Positions,Joseph Biden supported the interests of the American Lands Alliance 100 percent in 1999-2000.,100,Positions,,,,Joseph Biden supported the interests of the American Wilderness Coalition 80 percent in 2001-2002.,80,Positions,,,,,,,Joseph Biden supported the interests of the Californians for Population Stabilization 100 percent in 2001.,100,Positions,Joseph Biden supported the interests of the Center For Biological Diversity Action Fund 20 percent in 2020.,20,"Climate Scorecard (2020 Presidential Candidates, February 19, 2020)",,,,Joseph Biden supported the interests of the Citizens for Global Solutions 80 percent in 2002-2003.,80,Positions,,,,,,,,,,Joseph Biden supported the interests of the Competitive Enterprise Institute 0 percent in 1994.,0,Taxes Score,,,,Joseph Biden supported the interests of the Defenders of Wildlife Action Fund 100 percent in 2003.,100,Positions,,,,,,,Joseph Biden supported the interests of the Environment America 100 percent in 2008.,100,Positions,,,,,,,,,,,100,"Percent Loyalty to Finance, Insurance, Real Estate Lobby",Joseph Biden supported the interests of the Greenpeace 76 percent in 2020.,76,Presidential Candidate Climate Scorecard [Updated 8/28/2020],"On the votes that the League of Conservation Voters considered to be the most important in 1995-1996 ,  Joseph Biden voted their preferred position 96 percent of the time.",96,Positions,,,,Joseph Biden supported the interests of the National Parks Conservation Association 100 percent in 1999-2000.,100,Positions,,,,,,,,,,Joseph Biden supported the interests of the Partnership for America 0 percent in 2005-2006.,0,Positions,,,,Joseph Biden supported the interests of the Sierra Club 80 percent in 2003.,80,Positions,,,,Joseph Biden supported the interests of the Sunrise Movement 38 percent in 2020.,38,Presidential Candidate Scorecard,,,,,,,,,,Joseph Biden supported the interests of the Women's Action for New Directions (WAND) 82 percent in 2001-2002.,82,Positions,,,
1,Howie Hawkins,President,,1019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Jo Jorgensen,President,,2503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Donald J. Trump,President,NA,15723,President Donald Trump supported the interests of the 350 Action 0 percent in 2020.,0,"Climate Test, Presidential Candidate Scorecard [February 18, 2020]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,President Donald Trump supported the interests of the Greenpeace 0 percent in 2020.,0,Presidential Candidate Climate Scorecard [Updated 8/28/2020],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Shiva Ayyadurai,U.S. Senate,,185805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Andre Gray,U.S. Senate,,195211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Joseph P. Kennedy III,U.S. Senate,MA,141275,,,,Representative Joseph Kennedy supported the interests of the American Forest and Paper Association 0 percent in 2013-2014.,0,Positions,,,,,,,,,,Representative Joseph Kennedy supported the interests of the Associated Equipment Distributors 63 percent in 2015-2016.,63,"""Legislative Scorecard""",,,,,,,Representative Joseph Kennedy supported the interests of the Center For Biological Diversity Action Fund 100 percent in 2018.,100,Positions on Protecting the Public from Pollution,,,,,,,Representative Joseph Kennedy supported the interests of the Clean Water Action 100 percent in 2015-2016.,100,Positions,,,,,,,Representative Joseph Kennedy supported the interests of the Competitive Enterprise Institute 0 percent in 2013.,0,"Workplace Choice (August, 2013)",,,,Representative Joseph Kennedy supported the interests of the Defenders of Wildlife Action Fund 83 percent in 2013.,83,Positions,,,,Representative Joseph Kennedy supported the interests of the EarthRights International 25 percent in 2013.,25,Positions,Representative Joseph Kennedy supported the interests of the Environment America 100 percent in 2013.,100,Positions,Representative Joseph Kennedy supported the interests of the Food Policy Action 100 percent in 2013.,100,Positions,,,,,,,,,,,,,Representative Joseph Kennedy supported the interests of the League of Conservation Voters 96 percent in 2013.,96,Lifetime Score,,,,Representative Joseph Kennedy supported the interests of the National Parks Conservation Association 100 percent in 2014.,100,Positions,,,,,,,Representative Joseph Kennedy supported the interests of the Outdoor Industry Association Political Action Committee 75 percent in 2017-2018.,75,Positions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Ed Markey,U.S. Senate,MA,26900,,,,Senator Edward Markey supported the interests of the American Forest and Paper Association 8 percent in 2003-2004.,8,Positions,Senator Edward Markey supported the interests of the American Lands Alliance 100 percent in 1999-2000.,100,Positions,In 2007 American Society of Landscape Architects gave Senator Edward Markey a rating of 100.,100,Positions,Senator Edward Markey supported the interests of the American Wilderness Coalition 100 percent in 2001-2002.,100,Positions,Senator Edward Markey supported the interests of the Associated Equipment Distributors 85 percent in 2007.,85,Positions,,,,Senator Edward Markey supported the interests of the Californians for Population Stabilization 50 percent in 2001.,50,Positions,Senator Edward Markey supported the interests of the Center For Biological Diversity Action Fund 100 percent in 2018.,100,Positions on Protecting the Public from Pollution,Senator Edward Markey supported the interests of the Center for International Policy 100 percent in 2004.,100,Positions,Senator Edward Markey supported the interests of the Citizens for Global Solutions 92 percent in 2002-2003.,92,Positions,Senator Edward Markey supported the interests of the Clean Water Action 100 percent in 2011-2012.,100,Positions,Senator Edward Markey supported the interests of the Climate Hawks Vote 94 percent in 2013-2014.,94,Leadership Scores,,,,Senator Edward Markey supported the interests of the Competitive Enterprise Institute 0 percent in 1994.,0,Taxes Score,,,,Senator Edward Markey supported the interests of the Defenders of Wildlife Action Fund 100 percent in 2003.,100,Positions,,,,Senator Edward Markey supported the interests of the EarthRights International 44 percent in 2012.,44,Corporate Accountability Coalition Positions,Senator Edward Markey supported the interests of the Environment America 100 percent in 2008.,100,Positions,"Based on a point system, with points assigned for actions in support of or in opposition to Food Policy Action's position, Senator Edward Markey received a rating of 92.",92,Positions,,,,,,,,14,"Percent Loyalty to Finance, Insurance, Real Estate Lobby",,,,"On the votes that the League of Conservation Voters considered to be the most important in 1995-1996 , Senator Edward Markey voted their preferred position 96 percent of the time.",96,Positions,,,,Senator Edward Markey supported the interests of the National Parks Conservation Association 87 percent in 1999-2000.,87,Positions,,,,,,,Senator Edward Markey supported the interests of the Outdoor Industry Association Political Action Committee 75 percent in 2017-2018.,75,Positions,Senator Edward Markey supported the interests of the Partnership for America 0 percent in 2005-2006.,0,Positions,,,,Senator Edward Markey supported the interests of the Sierra Club 100 percent in 2003.,100,Positions,,,,,,,,,,,,,,,,Senator Edward Markey supported the interests of the Women's Action for New Directions (WAND) 89 percent in 2001-2002.,89,Positions,,,
8,Ed Markey,U.S. Senate,MA,26900,,,,Senator Edward Markey supported the interests of the American Forest and Paper Association 8 percent in 2003-2004.,8,Positions,Senator Edward Markey supported the interests of the American Lands Alliance 100 percent in 1999-2000.,100,Positions,In 2007 American Society of Landscape Architects gave Senator Edward Markey a rating of 100.,100,Positions,Senator Edward Markey supported the interests of the American Wilderness Coalition 100 percent in 2001-2002.,100,Positions,Senator Edward Markey supported the interests of the Associated Equipment Distributors 85 percent in 2007.,85,Positions,,,,Senator Edward Markey supported the interests of the Californians for Population Stabilization 50 percent in 2001.,50,Positions,Senator Edward Markey supported the interests of the Center For Biological Diversity Action Fund 100 percent in 2018.,100,Positions on Protecting the Public from Pollution,Senator Edward Markey supported the interests of the Center for International Policy 100 percent in 2004.,100,Positions,Senator Edward Markey supported the interests of the Citizens for Global Solutions 92 percent in 2002-2003.,92,Positions,Senator Edward Markey supported the interests of the Clean Water Action 100 percent in 2011-2012.,100,Positions,Senator Edward Markey supported the interests of the Climate Hawks Vote 94 percent in 2013-2014.,94,Leadership Scores,,,,Senator Edward Markey supported the interests of the Competitive Enterprise Institute 0 percent in 1994.,0,Taxes Score,,,,Senator Edward Markey supported the interests of the Defenders of Wildlife Action Fund 100 percent in 2003.,100,Positions,,,,Senator Edward Markey supported the interests of the EarthRights International 44 percent in 2012.,44,Corporate Accountability Coalition Positions,Senator Edward Markey supported the interests of the Environment America 100 percent in 2008.,100,Positions,"Based on a point system, with points assigned for actions in support of or in opposition to Food Policy Action's position, Senator Edward Markey received a rating of 92.",92,Positions,,,,,,,,14,"Percent Loyalty to Finance, Insurance, Real Estate Lobby",,,,"On the votes that the League of Conservation Voters considered to be the most important in 1995-1996 , Senator Edward Markey voted their preferred position 96 percent of the time.",96,Positions,,,,Senator Edward Markey supported the interests of the National Parks Conservation Association 87 percent in 1999-2000.,87,Positions,,,,,,,Senator Edward Markey supported the interests of the Outdoor Industry Association Political Action Committee 75 percent in 2017-2018.,75,Positions,Senator Edward Markey supported the interests of the Partnership for America 0 percent in 2005-2006.,0,Positions,,,,Senator Edward Markey supported the interests of the Sierra Club 100 percent in 2003.,100,Positions,,,,,,,,,,,,,,,,Senator Edward Markey supported the interests of the Women's Action for New Directions (WAND) 89 percent in 2001-2002.,89,Positions,,,
9,Frederick Mayock,U.S. Senate,,175645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
