,name,office,state,candidateId,Positions,350_Action_rating_text,350_Action_rating,American_Forest_and_Paper_Association_rating_text,American_Forest_and_Paper_Association_rating,American_Lands_Alliance_rating_text,American_Lands_Alliance_rating,American_Society_of_Landscape_Architects_rating_text,American_Society_of_Landscape_Architects_rating,American_Wilderness_Coalition_rating_text,American_Wilderness_Coalition_rating,Associated_Equipment_Distributors_rating_text,Associated_Equipment_Distributors_rating,Brand_New_Congress_rating_text,Brand_New_Congress_rating,Californians_for_Population_Stabilization_rating_text,Californians_for_Population_Stabilization_rating,Center_For_Biological_Diversity_Action_Fund_rating_text,Center_For_Biological_Diversity_Action_Fund_rating,Center_for_International_Policy_rating_text,Center_for_International_Policy_rating,Citizens_for_Global_Solutions_rating_text,Citizens_for_Global_Solutions_rating,Clean_Water_Action_rating_text,Clean_Water_Action_rating,Climate_Hawks_Vote_rating_text,Climate_Hawks_Vote_rating,Common_Defense_rating_text,Common_Defense_rating,Competitive_Enterprise_Institute_rating_text,Competitive_Enterprise_Institute_rating,ConservAmerica_rating_text,ConservAmerica_rating,Defenders_of_Wildlife_Action_Fund_rating_text,Defenders_of_Wildlife_Action_Fund_rating,Democratic_Socialists_Of_America_rating_text,Democratic_Socialists_Of_America_rating,EarthRights_International_rating_text,EarthRights_International_rating,Environment_America_rating_text,Environment_America_rating,Food_Policy_Action_rating_text,Food_Policy_Action_rating,Friends_of_the_Earth_Action_rating_text,Friends_of_the_Earth_Action_rating,Future_Now_Fund_rating_text,Future_Now_Fund_rating,Global_Exchange_rating_text,Global_Exchange_rating,Greenpeace_rating_text,Greenpeace_rating,League_of_Conservation_Voters_rating_text,League_of_Conservation_Voters_rating,Matriarch_rating_text,Matriarch_rating,National_Parks_Conservation_Association_rating_text,National_Parks_Conservation_Association_rating,NextGen_America_rating_text,NextGen_America_rating,Ocean_Champions_rating_text,Ocean_Champions_rating,Outdoor_Industry_Association_Political_Action_Committee_rating_text,Outdoor_Industry_Association_Political_Action_Committee_rating,Partnership_for_America_rating_text,Partnership_for_America_rating,Rachel's_Action_Network_rating_text,Rachel's_Action_Network_rating,Sierra_Club_rating_text,Sierra_Club_rating,Southern_Alliance_for_Clean_Energy_Action_Fund_rating_text,Southern_Alliance_for_Clean_Energy_Action_Fund_rating,Sunrise_Movement_rating_text,Sunrise_Movement_rating,The_Climate_Mobilization_rating_text,The_Climate_Mobilization_rating,The_National_Wildlife_Federation_Action_Fund_rating_text,The_National_Wildlife_Federation_Action_Fund_rating,Western_Organization_of_Resource_Councils_rating_text,Western_Organization_of_Resource_Councils_rating,Women's_Action_for_New_Directions_(WAND)_rating_text,Women's_Action_for_New_Directions_(WAND)_rating,Zero_Hour_rating_text,Zero_Hour_rating,"A Joint Resolution Providing for Congressional Disapproval under Chapter 8 of Title 5, United States Code, of a Rule Submitted by the Environmental Protection Agency Relating to ""Carbon Pollution Emission Guidelines for Existing Stationary Sources: Electric Utility Generating Units""",Climate Action Now Act,Arctic Cultural and Coastal Plain Protection Act,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""Repeal of the Clean Power Plan; Emission Guidelines for Greenhouse Gas Emissions From Existing Electric Utility Generating Units; Revisions to Emission Guidelines Implementing Regulations"""
0,Joe Biden,President,,53279,"[Green New Deal is in platform and it's not too much. (Sep 2020), WOTUS: clean water rules create rural jobs. (Sep 2020), Pay to put farmland in land banks, for open space & carbon. (Sep 2020), World should give $20B to Brazil to stop burning Amazon. (Mar 2020), Will bring polluting country leaders to US to find solutions. (Feb 2020), Develop new nuclear technologies. (Jul 2019), 1970s: Push to prohibit refineries, to protect state beaches. (Oct 2010), America should guarantee Katrina reconstruction. (Jun 2007), Take away the billions of subsidy to the oil companies. (Jun 2007), Scored 80% on Humane Society Scorecard on animal protection. (Jan 2007), Voted YES on including oil & gas smokestacks in mercury regulations. (Sep 2005), Voted NO on confirming Gale Norton as Secretary of Interior. (Jan 2001), Voted NO on more funding for forest roads and fish habitat. (Sep 1999), Voted YES on transportation demo projects. (Mar 1998), Voted YES on reducing funds for road-building in National Forests. (Sep 1997), Voted YES on continuing desert protection in California. (Oct 1994), Voted YES on requiring EPA risk assessments. (May 1994), End commercial whaling and illegal trade in whale meat. (Jun 2001), Rated 95% by the LCV, indicating pro-environment votes. (Dec 2003), EPA must do better on mercury clean-up. (Apr 2004), Strengthen prohibitions against animal fighting. (Jan 2007)]",Joseph Biden supported the interests of the 350 Action 25 percent in 2020.,25,Joseph Biden supported the interests of the American Forest and Paper Association 25 percent in 2003-2004.,25,Joseph Biden supported the interests of the American Lands Alliance 100 percent in 1999-2000.,100,,,Joseph Biden supported the interests of the American Wilderness Coalition 80 percent in 2001-2002.,80,,,,,Joseph Biden supported the interests of the Californians for Population Stabilization 100 percent in 2001.,100,Joseph Biden supported the interests of the Center For Biological Diversity Action Fund 20 percent in 2020.,20,,,Joseph Biden supported the interests of the Citizens for Global Solutions 80 percent in 2002-2003.,80,,,,,,,Joseph Biden supported the interests of the Competitive Enterprise Institute 0 percent in 1994.,0,,,Joseph Biden supported the interests of the Defenders of Wildlife Action Fund 100 percent in 2003.,100,,,,,Joseph Biden supported the interests of the Environment America 100 percent in 2008.,100,,,,,,,,100,Joseph Biden supported the interests of the Greenpeace 76 percent in 2020.,76,"On the votes that the League of Conservation Voters considered to be the most important in 1995-1996 ,  Joseph Biden voted their preferred position 96 percent of the time.",96,,,Joseph Biden supported the interests of the National Parks Conservation Association 100 percent in 1999-2000.,100,,,,,,,Joseph Biden supported the interests of the Partnership for America 0 percent in 2005-2006.,0,,,Joseph Biden supported the interests of the Sierra Club 80 percent in 2003.,80,,,Joseph Biden supported the interests of the Sunrise Movement 38 percent in 2020.,38,,,,,,,Joseph Biden supported the interests of the Women's Action for New Directions (WAND) 82 percent in 2001-2002.,82,,,,,,
1,Howie Hawkins,President,,1019,"[Polluters should have burden of proof of safe practices. (Jul 2020), Strengthen Endangered Species & Clean Water Act. (Jul 2020), Shut down waste incinerators; phase out landfills. (Jul 2020), Convert corporate agribusiness to organic agriculture. (May 2019), Environmental collapse follows from capitalist system. (May 2019), Strengthen environmental regulation and enforcement. (Nov 2006)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Jo Jorgensen,President,,2503,[Companies able to pollute because government caps liability. (Jun 2020)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Donald J. Trump,President,NA,15723,"[Join the United Nations' ""One Trillion Trees initiative"". (Feb 2020), FactCheck: Yes, hybrid family vehicles are available in US. (Sep 2019), FactCheck: Alabama WAS in hurricane risk, before Trump said. (Sep 2019), Why not nuke hurricanes to stop them from hitting US? (Aug 2019), 2008: pushed Scotland golf course despite enviro fragility. (Aug 2016), Eminent domain is something you need very strongly. (Feb 2016), Eminent domain pays more than fair market value. (Oct 2015), Eminent domain is a very useful tool for job creation. (Oct 2015), My sons love trophy hunting, but I'm not a believer. (Sep 2015), Won't go to circuses that cut elephants due to animal rights. (Mar 2015), Partner with environmentalists when undertaking projects. (Apr 2010), Good development enhances the environment. (Jan 2008), Humiliated NYC Mayor by finishing ice rink on time on budget. (Oct 1997), Regulation, We need better forest management; we planted a billion trees. (Sep 2020), Don't micromanage every rain puddle and drainage ditch. (Sep 2019), WOTUS 2018: limited definition of protected waterways. (Dec 2018), Cutting overbearing regulations helps farmers & builders. (Feb 2018), Overrule Fisheries Commission and allow more fish harvesting. (Jul 2017), We're going to put regulation industry out of business. (Feb 2017), Regulations by unelected officials reward special interests. (Oct 2016), Cut the EPA; what they do is a disgrace. (Oct 2015), Asbestos got a bad rap from miners & mob-led movement. (Oct 1997), Bureaucratic land use reviews make projects unbuildable. (Oct 1997)]",President Donald Trump supported the interests of the 350 Action 0 percent in 2020.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,President Donald Trump supported the interests of the Greenpeace 0 percent in 2020.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Andre Gray,U.S. Senate,,195211,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Ed Markey,U.S. Senate,MA,26900,"[Nuclear power is a very expensive way to boil water. (Nov 2019), Voted YES on $2 billion more for Cash for Clunkers program. (Jul 2009), Voted YES on protecting free-roaming horses and burros. (Jul 2009), Voted YES on environmental education grants for outdoor experiences. (Sep 2008), Voted YES on $9.7B for Amtrak improvements and operation thru 2013. (Jun 2008), Voted YES on increasing AMTRAK funding by adding $214M to $900M. (Jun 2006), Voted YES on barring website promoting Yucca Mountain nuclear waste dump. (May 2006), Voted NO on deauthorizing ""critical habitat"" for endangered species. (Sep 2005), Voted NO on speeding up approval of forest thinning projects. (Nov 2003), Prohibits commercial logging on Federal public lands. (Apr 2001), Rated 100% by the LCV, indicating pro-environment votes. (Dec 2003), Regulate all dog breeders down to kennels of 50 dogs. (Feb 2011), Leader of House Natural Resources Committee. (Mar 2011), Prohibits breeding or possessing Big Cat species. (Apr 2012), Rated 100% by HSLF, indicating a pro-animal welfare voting record. (Jan 2012), Sponsored enforcing against illegal ocean fishing. (Jan 2013), Endorsed Endorsed by LCV; supports conservation efforts. (Aug 2014), Strengthen prohibitions against animal fighting. (Jan 2007)]",,,Senator Edward Markey supported the interests of the American Forest and Paper Association 8 percent in 2003-2004.,8,Senator Edward Markey supported the interests of the American Lands Alliance 100 percent in 1999-2000.,100,In 2007 American Society of Landscape Architects gave Senator Edward Markey a rating of 100.,100,Senator Edward Markey supported the interests of the American Wilderness Coalition 100 percent in 2001-2002.,100,Senator Edward Markey supported the interests of the Associated Equipment Distributors 85 percent in 2007.,85,,,Senator Edward Markey supported the interests of the Californians for Population Stabilization 50 percent in 2001.,50,Senator Edward Markey supported the interests of the Center For Biological Diversity Action Fund 100 percent in 2018.,100,Senator Edward Markey supported the interests of the Center for International Policy 100 percent in 2004.,100,Senator Edward Markey supported the interests of the Citizens for Global Solutions 92 percent in 2002-2003.,92,Senator Edward Markey supported the interests of the Clean Water Action 100 percent in 2011-2012.,100,Senator Edward Markey supported the interests of the Climate Hawks Vote 94 percent in 2013-2014.,94,,,Senator Edward Markey supported the interests of the Competitive Enterprise Institute 0 percent in 1994.,0,,,Senator Edward Markey supported the interests of the Defenders of Wildlife Action Fund 100 percent in 2003.,100,,,Senator Edward Markey supported the interests of the EarthRights International 44 percent in 2012.,44,Senator Edward Markey supported the interests of the Environment America 100 percent in 2008.,100,"Based on a point system, with points assigned for actions in support of or in opposition to Food Policy Action's position, Senator Edward Markey received a rating of 92.",92,,,,,,14,,,"On the votes that the League of Conservation Voters considered to be the most important in 1995-1996 , Senator Edward Markey voted their preferred position 96 percent of the time.",96,,,Senator Edward Markey supported the interests of the National Parks Conservation Association 87 percent in 1999-2000.,87,,,,,Senator Edward Markey supported the interests of the Outdoor Industry Association Political Action Committee 75 percent in 2017-2018.,75,Senator Edward Markey supported the interests of the Partnership for America 0 percent in 2005-2006.,0,,,Senator Edward Markey supported the interests of the Sierra Club 100 percent in 2003.,100,,,,,,,,,,,Senator Edward Markey supported the interests of the Women's Action for New Directions (WAND) 89 percent in 2001-2002.,89,,,Nay,,,Yea
6,Frederick Mayock,U.S. Senate,,175645,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Kevin J. O'Connor,U.S. Senate,,192573,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Roy A. Owens,U.S. House,,35701,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Ayanna S. Pressley,U.S. House,MA,122700,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Representative Ayanna Pressley supported the interests of the League of Conservation Voters 97 percent in 2019.,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yea,Yea,
